"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1941013157188981129","Fri Jul 04 05:56:13 +0000 2025","0","SIARAN PERS MUSNAHKAN NARKOTIKA DI KP. BONCOS BNN NYATAKAN PERANG TERBUKA TERHADAP NARKOBA Jakarta 2 Juli 2025 Info selengkapnya dapat dilihat melalui: https://t.co/n49Uon4eXa https://t.co/prUZlUDhnI","1941013157188981129","https://pbs.twimg.com/media/Gu_dLgIWgAAAw0q.jpg","","in","","0","0","0","https://x.com/undefined/status/1941013157188981129","3244916268",
"1941012906700951808","Fri Jul 04 05:55:13 +0000 2025","0","mau perang bgt ni orang kayaknya sm aku","1941012906700951808","","","in","","0","1","0","https://x.com/undefined/status/1941012906700951808","1230053198",
"1941002830116278593","Fri Jul 04 05:53:58 +0000 2025","1","@urietatawookie BERASA MAU PERGI PERANG ","1941012592220426744","","urietatawookie","in","","0","0","0","https://x.com/undefined/status/1941012592220426744","1802685730059436032",
"1940992776096661995","Fri Jul 04 05:53:06 +0000 2025","0","@tanyakanrl normal nder. who's gonna hate this diva? i mean hyunju noona is the audience favorite character in this series. menurut gua dia bener2 mvp di s2 apalagi game estafet sama pas perang lawan penjaga. dia bener2 ngeluarin potensi sama pengalaman selama bertugas di special forces","1941012373533610140","","tanyakanrl","in","","0","0","0","https://x.com/undefined/status/1941012373533610140","1217421843398717440",
"1940828177838100622","Fri Jul 04 05:52:33 +0000 2025","0","@erlanishere Genosida akan terus berlanjut hingga rakyat palestina habis itu tujuan israhell dan koalisi penjajah mereka melakukan gencatan senjata bukan karena ingin mengakhiri perang tapi untuk melakukan jeda waktu mengisi amunisi....penjajah tetaplah penjajah","1941012234630844646","","erlanishere","in","","0","0","0","https://x.com/undefined/status/1941012234630844646","1847627801404542976",
"1940953133330686211","Fri Jul 04 05:50:50 +0000 2025","2","@Mdy_Asmara1701 Hati boleh panas kepala ttp dingin agar dpat berfikir rasional jgn pertaruhkan nyawa seluruh rakyat RI hanya demi seorang selebram pelajari apa masalahnya dan lakukan diplomasi perang bkn solusi hanya membuat kehancuran danmerusak peradaban ","1941011800658792658","","Mdy_Asmara1701","in","","0","0","0","https://x.com/undefined/status/1941011800658792658","1476077719737683971",
"1941011717456314622","Fri Jul 04 05:50:30 +0000 2025","0","set kamar ini udah kaya abis perang dunia ke 8 aja","1941011717456314622","","","in","","0","0","0","https://x.com/undefined/status/1941011717456314622","1743679526335635456",
"1941009978153910772","Fri Jul 04 05:50:30 +0000 2025","0","@ourtejanoblue Bikin konten rekomendasi tempat hidden gem untuk ngopi saat perang dunia ke-3","1941011717355721074","","ourtejanoblue","in","","0","0","0","https://x.com/undefined/status/1941011717355721074","1675217771431591937",
"1940816702746644989","Fri Jul 04 05:50:04 +0000 2025","0","@KompasTV Resiko jabatan di area perang","1941011609222369765","","KompasTV","in","","0","0","0","https://x.com/undefined/status/1941011609222369765","118992089",
"1941005741193830435","Fri Jul 04 05:49:37 +0000 2025","7","@BBCIndonesia Mendingan beli anjing beneran aja. Itu robot klo keujananan apa ga konslet. Lagian buat apaan beli robot anjing org perang pun ga pake robot anjing. Negara maju nangkep pelaku kriminal jg ga pke robot anjing. Bilang aja lu pd gabut mau mainan kan.. ","1941011494009032767","","BBCIndonesia","in","","0","0","0","https://x.com/undefined/status/1941011494009032767","1176416757499645952",
